Data,Open,Hight,Low,Close,Ticks,Volume
2019-09-26,419550000,419550000,419550000,419550000,1,4
2019-09-26,419600000,419600000,419600000,419600000,1,9
2019-09-26,420300000,420300000,420300000,420300000,1,38
2019-09-27,419500000,419500000,419500000,419500000,1,13
2019-09-27,419700000,419800000,419700000,419800000,2,46
2019-09-27,420200000,420200000,420200000,420200000,1,19
2019-09-30,420600000,420600000,420600000,420600000,1,6
2019-09-30,420700000,420700000,420700000,420700000,1,3
2019-09-30,419800000,419800000,419800000,419800000,1,39
2019-10-01,420400000,420400000,420400000,420400000,1,26
2019-10-01,420200000,420200000,420200000,420200000,1,61
2019-10-02,419500000,419500000,419500000,419500000,1,4
2019-10-02,419200000,419200000,419200000,419200000,1,14
2019-10-02,417300000,417300000,417300000,417300000,1,48
2019-10-03,416500000,416500000,416500000,416500000,1,16
2019-10-03,416200000,416200000,416200000,416200000,1,7
2019-10-04,410950000,410950000,410950000,410950000,1,6
2019-10-04,410200000,410200000,410200000,410200000,1,4
2019-10-07,410950000,410950000,410950000,410950000,1,6
2019-10-08,412100000,412100000,412100000,412100000,1,26
2019-10-09,413300000,413500000,413300000,413500000,3,151
2019-10-10,416500000,416500000,416500000,416500000,2,71
2019-10-11,412900000,412900000,412900000,412900000,1,54
2019-10-14,415800000,416000000,415800000,416000000,3,52
2019-10-14,416700000,416700000,416700000,416700000,1,7
2019-10-14,416400000,416400000,416400000,416400000,1,9
2019-10-14,416200000,416200000,416200000,416200000,1,47
2019-10-15,416600000,416600000,416600000,416600000,1,25
2019-10-17,420000000,420000000,420000000,420000000,1,3
2019-10-22,413100000,413100000,413100000,413100000,1,10
2019-10-23,411300000,411300000,411300000,411300000,1,25
2019-10-23,408600000,408600000,408600000,408600000,1,24
2019-10-24,407800000,407800000,407800000,407800000,2,31
2019-10-25,404800000,404800000,404800000,404800000,1,6
2019-10-28,406700000,406700000,402300000,402300000,4,41
2019-10-29,403000000,403000000,403000000,403000000,1,3
2019-11-04,401550000,401850000,401550000,401850000,4,7
2019-11-06,411100000,411100000,411100000,411100000,1,5
2019-11-07,411400000,411400000,411400000,411400000,1,12
2019-11-07,412200000,412600000,412200000,412600000,2,31
2019-11-08,417700000,417700000,417700000,417700000,1,4
2019-11-11,417100000,417100000,417100000,417100000,1,1
2019-11-12,419200000,419200000,419200000,419200000,1,62
2019-11-12,419000000,420200000,419000000,420200000,2,10
2019-11-12,418900000,418900000,418900000,418900000,1,68
2019-11-13,420200000,420200000,420200000,420200000,1,49
2019-11-13,420150000,420150000,420150000,420150000,1,1
2019-11-13,420800000,420800000,420800000,420800000,1,50
2019-11-13,420550000,420550000,420550000,420550000,1,77
2019-11-14,421300000,421300000,421300000,421300000,1,79
2019-11-14,421600000,421600000,421600000,421600000,1,118
2019-11-18,420800000,420800000,420800000,420800000,1,117
2019-11-19,422350000,423150000,422350000,422500000,4,95
2019-11-19,422350000,422350000,422350000,422350000,1,24
2019-11-19,422500000,422500000,422500000,422500000,1,14
2019-11-21,422800000,422800000,422800000,422800000,1,15
2019-11-21,421900000,421900000,421700000,421700000,2,27
2019-11-21,423800000,423800000,423800000,423800000,1,24
2019-11-25,424000000,424000000,424000000,424000000,2,52
2019-11-26,427200000,427200000,427200000,427200000,1,22
2019-11-26,425500000,425500000,425500000,425500000,1,2
2019-11-26,427650000,427650000,427650000,427650000,1,22
2019-11-26,428500000,428500000,428500000,428500000,1,2
2019-11-27,427800000,427800000,427800000,427800000,1,3
2019-11-28,428000000,428000000,428000000,428000000,2,49
2019-12-02,424200000,424200000,424200000,424200000,1,115
2019-12-02,423950000,423950000,423950000,423950000,1,10
2019-12-02,423500000,423550000,423500000,423500000,5,135
2019-12-03,423450000,423450000,423450000,423450000,4,146
2019-12-03,421950000,421950000,421800000,421800000,2,44
2019-12-03,421400000,421400000,421400000,421400000,1,14
2019-12-03,422100000,422100000,422100000,422100000,1,145
2019-12-04,421100000,421100000,420900000,420900000,2,34
2019-12-04,420800000,421200000,420800000,421200000,2,21
2019-12-04,422250000,422250000,422250000,422250000,1,12
2019-12-05,423700000,423700000,423700000,423700000,1,12
2019-12-06,420800000,420800000,420000000,420000000,2,48
2019-12-06,418450000,419100000,418450000,419100000,3,86
2019-12-09,417600000,417600000,417600000,417600000,1,50
2019-12-09,415700000,415700000,415600000,415600000,2,39
2019-12-16,409900000,409900000,409900000,409900000,1,10
2019-12-16,408000000,408000000,408000000,408000000,1,10
2019-12-16,407400000,407700000,407400000,407700000,2,6
2019-12-18,407300000,407300000,407300000,407300000,1,42
2019-12-18,407800000,407800000,407800000,407800000,1,42
2019-12-19,407800000,407800000,407800000,407800000,3,128
2019-12-19,407400000,407400000,407400000,407400000,3,128
2019-12-19,407700000,407700000,407700000,407700000,4,135
2019-12-20,407700000,408400000,407700000,408400000,6,247
2019-12-20,408900000,408900000,408900000,408900000,1,5
2019-12-20,409900000,409900000,409900000,409900000,1,14
2019-12-20,410700000,410700000,410700000,410700000,1,117
2019-12-23,409200000,409200000,409200000,409200000,1,32
2020-01-03,406100000,406100000,406100000,406100000,1,30
2020-01-03,407000000,407000000,407000000,407000000,1,42
2020-01-06,406750000,406750000,406750000,406750000,2,60
2020-01-07,409800000,410150000,409800000,410150000,2,38
2020-01-07,410250000,410500000,410250000,410500000,2,28
2020-01-07,410500000,410500000,410500000,410500000,1,2
2020-01-08,406650000,406650000,406200000,406200000,2,17
2020-01-08,406250000,406600000,406250000,406600000,2,28
2020-01-08,406350000,406350000,406350000,406350000,1,18
2020-01-08,406400000,406400000,406400000,406400000,1,43
2020-01-09,407350000,407350000,407350000,407350000,1,18
2020-01-09,409750000,409750000,409750000,409750000,1,6
2020-01-09,409700000,409700000,409700000,409700000,1,6
2020-01-09,409900000,409900000,409850000,409900000,3,30
2020-01-10,408600000,408600000,408600000,408600000,1,8
2020-01-10,408900000,408900000,408900000,408900000,1,24
2020-01-10,410500000,410500000,410500000,410500000,1,8
2020-01-13,413600000,413750000,413600000,413750000,2,82
2020-01-13,414700000,414700000,414700000,414700000,2,71
2020-01-14,414550000,414550000,414400000,414400000,2,24
2020-01-14,414850000,414850000,414300000,414300000,4,52
2020-01-15,416800000,417600000,416800000,417550000,3,98
2020-01-15,418900000,419300000,418900000,419300000,2,30
2020-01-16,417900000,417900000,417900000,417900000,1,23
2020-01-16,418150000,418200000,418150000,418200000,2,21
2020-01-16,418200000,418800000,418200000,418800000,2,47
2020-01-17,419100000,419100000,419100000,419100000,2,145
2020-01-20,419150000,419150000,419150000,419150000,2,2
2020-01-21,420650000,420650000,420650000,420650000,1,26
2020-01-22,419900000,419900000,419900000,419900000,1,6
2020-01-31,427700000,428000000,427700000,428000000,5,30
2020-01-31,427750000,428100000,427750000,428100000,2,2
2020-01-31,428450000,428950000,428150000,428950000,11,23
2020-01-31,428650000,429500000,428500000,429500000,4,22
2020-01-31,429600000,429600000,429600000,429600000,1,1
2020-01-31,429900000,429900000,429900000,429900000,1,1
